name,name_variant_ENA,corresponding_DwC,name_origin,MIxS_section,DwC_section,expected_unit,synonyms,definition,polaaar_emof,polaaar_template,polaaarDB_environment,MIxS_core,DwC_Event,DwC_Occurrence,DwC_eMoF,air,built_environment,host_associated,human_associated,human_gut,human_oral,human_skin,human_vaginal,microbial_mat_biofilm,miscellaneous_natural_or_artificial_environment,plant_associated,sediment,soil,wastewater_sludge,water
organismQuantityType,,organismQuantityType,DwC,miscellaneous,Occurrence,alphanumeric,organismquantitytype,The type of quantification system used for the quantity of organisms.,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
catalogNumber,,catalogNumber,DwC,miscellaneous,Occurrence,alphanumeric,catalognumber,An identifier (preferably unique) for the record within the data set or collection.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
occurrenceID,,occurrenceID,DwC,miscellaneous,Occurrence,alphanumeric,occurrenceid;occurenceid;ocurrence;occurence;ocurenceid;ocurrenceid,An identifier for the Occurrence (as opposed to a particular digital record of the occurrence). In the absence of a persistent global unique identifier; construct one from a combination of identifiers in the record that will most closely make the occurrenceID globally unique. ,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otherCatalogNumbers,,otherCatalogNumbers,DwC,miscellaneous,Occurrence,alphanumeric,othercatalognumbers,A list (concatenated and separated) of previous or alternate fully qualified catalog numbers or other human-used identifiers for the same Occurrence; whether in the current or any other data set or collection. ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rightsHolder,,rightsHolder,DwC,miscellaneous,Properties,alphanumeric,rightsholder,A person or organization owning or managing rights over the resource ,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ownerInstitutionCode,,ownerInstitutionCode,DwC,miscellaneous,RecordLevel,alphanumeric,institute;centername;ownerinstitutioncode;ownerinstitution,The name (or acronym) in use by the institution having ownership of the object(s) or information referred to in the record.,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
basisOfRecord,,basisOfRecord,DwC,miscellaneous,RecordLevel,alphanumeric,basisofrecord,The specific nature of the data record - a subtype of the dcterms:type. Recommended best practice is to use a controlled vocabulary such as the Darwin Core Type Vocabulary (http://rs.tdwg.org/dwc/terms/type-vocabulary/index.htm). ,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
license,,license,DwC,miscellaneous,RecordLevel,alphanumeric,license;lisence,A legal document giving official permission to do something with the resource. ,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ResourceRelationship,,resource_relationship,DwC,miscellaneous,ResourceRelationship,alphanumeric,resourcerelationship;resource_relationship,Resources can be thought of as identifiable records or instances of classes and may include; but need not be limited to dwc:Occurrence; dwc:Organism; dwc:MaterialSample; dwc:Event; dwc:Location; dwc:GeologicalContext; dwc:Identification; or dwc:Taxon.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scientificNameID,tax_id,scientificnameid;taxonid;taxid;tax_id,DwC,miscellaneous,Taxon,alphanumeric,taxid;scientificnameid,An identifier for the set of taxon information (data associated with the Taxon class). May be a global unique identifier or an identifier specific to the data set. ,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acceptedNameUsageID,,acceptedNameUsageID,DwC,miscellaneous,Taxon,alphanumeric,acceptednameusageid,The taxonID of the taxon considered to be the valid (zoological) or accepted (botanical) name for this nameUsage. If acceptedNameUsage is given; the scientificName of the nameUsage with taxonID=acceptedNameUsageID needs to be the same as acceptedNameUsage.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
class,,class,DwC,miscellaneous,Taxon,alphanumeric,class,The full scientific name of the class in which the taxon is classified. ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
family,,family,DwC,miscellaneous,Taxon,alphanumeric,family,The full scientific name of the family in which the taxon is classified. ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
genus,,genus,DwC,miscellaneous,Taxon,alphanumeric,genus,The full scientific name of the genus in which the taxon is classified. ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
higherClassification,,higherClassification,DwC,miscellaneous,Taxon,alphanumeric,higherclassification,"A list (concatenated and separated) of taxa names terminating at the rank immediately superior to the taxon referenced in the taxon record. Recommended best practice is to order the list starting with the highest rank and separating the names for each rank with a semi-colon ("";""). ",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
infraspecificEpithet,,infraspecificEpithet,DwC,miscellaneous,Taxon,alphanumeric,infraspecificepithet,The name of the lowest or terminal infraspecific epithet of the scientificName; excluding any rank designation. ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kingdom,,kingdom,DwC,miscellaneous,Taxon,alphanumeric,kingdom,The full scientific name of the kingdom in which the taxon is classified. ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nameAccordingTo,,nameAccordingTo,DwC,miscellaneous,Taxon,alphanumeric,nameaccordingto,"The reference to the source in which the specific taxon concept circumscription is defined or implied - traditionally signified by the Latin ""sensu"" or ""sec."" (from secundum; meaning ""according to""). For taxa that result from identifications; a reference to the keys; monographs; experts and other sources should be given. ",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nameAccordingToID,,nameAccordingToID,DwC,miscellaneous,Taxon,alphanumeric,nameaccordingtoid,An identifier for the source in which the specific taxon concept circumscription is defined or implied. See nameAccordingTo. ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
order,,order,DwC,miscellaneous,Taxon,alphanumeric,order,The full scientific name of the order in which the taxon is classified. ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
originalNameUsageID,,originalNameUsageID,DwC,miscellaneous,Taxon,alphanumeric,originalnameusageid,An identifier for the name usage (documented meaning of the name according to a source) in which the terminal element of the scientificName was originally established under the rules of the associated nomenclaturalCode. ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
parentNameUsageID,,parentNameUsageID,DwC,miscellaneous,Taxon,alphanumeric,parentnameusageid,An identifier for the name usage (documented meaning of the name according to a source) of the direct; most proximate higher-rank parent taxon (in a classification) of the most specific element of the scientificName. ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phylum,,phylum,DwC,miscellaneous,Taxon,alphanumeric,phylum,The full scientific name of the phylum in which the taxon is classified. ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scientificName,scientific_name,scientificName,DwC,miscellaneous,Taxon,alphanumeric,scientificname;scientific_name,The full scientific name; with authorship and date information if known. When forming part of an Identification; this should be the name in lowest level taxonomic rank that can be determined. This term should not contain identification qualifications; which should instead be supplied in the IdentificationQualifier term. ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scientificNameAuthorship,,scientificNameAuthorship,DwC,miscellaneous,Taxon,alphanumeric,scientificnameauthorship,The authorship information for the scientificName formatted according to the conventions of the applicable nomenclaturalCode. ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
specificEpithet,,specificEpithet,DwC,miscellaneous,Taxon,alphanumeric,specificepithet,The name of the first or species epithet of the scientificName. ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
subgenus,,subgenus,DwC,miscellaneous,Taxon,alphanumeric,subgenus,The full scientific name of the subgenus in which the taxon is classified. Values should include the genus to avoid homonym confusion. ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
taxonConceptID,,taxonConceptID,DwC,miscellaneous,Taxon,alphanumeric,taxonconceptid,An identifier for the taxonomic concept to which the record refers - not for the nomenclatural details of a taxon. ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
taxonRank,,taxonRank,DwC,miscellaneous,Taxon,alphanumeric,taxonrank,The taxonomic rank of the most specific name in the scientificName. Recommended best practice is to use a controlled vocabulary. ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vernacularName,,vernacularName,DwC,miscellaneous,Taxon,alphanumeric,vernacularname,A common or vernacular name. ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
type,,type,DwC,miscellaneous,RecordLevel,alphanumeric,type,The nature or genre of the resource. For Darwin Core; recommended best practice is to use the name of the class that defines the root of the record.,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
modified,,modified,DwC,miscellaneous,RecordLevel,alphanumeric,modified,The most recent date-time on which the resource was changed. For Darwin Core; recommended best practice is to use an encoding scheme; such as ISO 8601:2004(E),0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
language,,language,DwC,miscellaneous,RecordLevel,alphanumeric,language,A language of the resource. Recommended best practice is to use a controlled vocabulary such as RFC 4646 [RFC4646] ,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
accessRights,,accessRights,DwC,miscellaneous,RecordLevel,alphanumeric,accessrights,Information about who can access the resource or an indication of its security status. Access Rights may include information regarding access or restrictions based on privacy; security; or other policies,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rights,,rights,DwC,miscellaneous,RecordLevel,alphanumeric,rights,Information about rights held in and over the resource. Typically; rights information includes a statement about various property rights associated with the resource; including intellectual property rights,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bibliographicCitation,,bibliographicCitation,DwC,miscellaneous,RecordLevel,alphanumeric,bibliographiccitation,A bibliographic reference for the resource as a statement indicating how this record should be cited (attributed) when used. Recommended practice is to include sufficient bibliographic detail to identify the resource as unambiguously as possible,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
references,,references,DwC,miscellaneous,RecordLevel,alphanumeric,references,A URL to a related resource that is referenced; cited; or otherwise pointed to by the described resource. Often another webpage showing the same; but richer resource,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
institutionID,,institutionID,DwC,miscellaneous,RecordLevel,alphanumeric,institutionid,An identifier for the institution having custody of the object(s) or information referred to in the record.,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
collectionID,,collectionID,DwC,miscellaneous,RecordLevel,alphanumeric,collectionid,An identifier for the collection or dataset from which the record was derived. For physical specimens; the recommended best practice is to use the identifier in a collections registry such as the Biodiversity Collections Index (http://www.biodiversitycollectionsindex.org/).,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
datasetID,,datasetID,DwC,miscellaneous,RecordLevel,alphanumeric,datasetid,An identifier for the set of data. May be a global unique identifier or an identifier specific to a collection or institution.,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
institutionCode,,institutionCode,DwC,miscellaneous,RecordLevel,alphanumeric,institutioncode,The name (or acronym) in use by the institution having custody of the object(s) or information referred to in the record.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
collectionCode,,collectionCode,DwC,miscellaneous,RecordLevel,alphanumeric,collectioncode,The name; acronym; coden; or initialism identifying the collection or data set from which the record was derived.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
datasetName,,datasetName,DwC,miscellaneous,RecordLevel,alphanumeric,datasetname,The name identifying the data set from which the record was derived. ,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
informationWithheld,,informationWithheld,DwC,miscellaneous,RecordLevel,alphanumeric,informationwithheld,Additional information that exists; but that has not been shared in the given record.,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dataGeneralizations,,dataGeneralizations,DwC,miscellaneous,RecordLevel,alphanumeric,datageneralizations,Actions taken to make the shared data less specific or complete than in its original form. Suggests that alternative data of higher quality may be available on request.,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dynamicProperties,,dynamicProperties,DwC,miscellaneous,RecordLevel,alphanumeric,dynamicproperties,A list (concatenated and separated) of additional measurements; facts; characteristics; or assertions about the record. Meant to provide a mechanism for structured content such as key-value pairs. The recommended best practice is to use a key:value encoding schema such as JSON.,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recordNumber,,recordNumber,DwC,miscellaneous,Occurrence,alphanumeric,recordnumber,An identifier given to the Occurrence at the time it was recorded. Often serves as a link between field notes and an Occurrence record; such as a specimen collector's number.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recordedBy,,recordedBy,DwC,miscellaneous,Occurrence,alphanumeric,recordedby,A list (concatenated and separated) of names of people; groups; or organizations responsible for recording the original Occurrence. The primary collector or observer; especially one who applies a personal identifier (recordNumber); should be listed first.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
individualID,,individualID,DwC,miscellaneous,Occurrence,alphanumeric,individualid,An identifier for an individual or named group of individual organisms represented in the Occurrence. Meant to accommodate resampling of the same individual or group for monitoring purposes. May be a global unique identifier or an identifier specific to a data set.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
individualCount,,individualCount,DwC,miscellaneous,Occurrence,alphanumeric,individualcount,The number of individuals represented present at the time of the Occurrence.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sex,,sex,DwC,miscellaneous,Occurrence,alphanumeric,sex,The sex of the biological individual(s) represented in the Occurrence. Recommended best practice is to use a controlled vocabulary.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lifeStage,,lifeStage,DwC,miscellaneous,Occurrence,alphanumeric,lifestage,The age class or life stage of the biological individual(s) at the time the Occurrence was recorded. Recommended best practice is to use a controlled vocabulary. ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reproductiveCondition,,reproductiveCondition,DwC,miscellaneous,Occurrence,alphanumeric,reproductivecondition,The reproductive condition of the biological individual(s) represented in the Occurrence. Recommended best practice is to use a controlled vocabulary.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
behavior,,behavior,DwC,miscellaneous,Occurrence,alphanumeric,behavior,A description of the behavior shown by the subject at the time the Occurrence was recorded. Recommended best practice is to use a controlled vocabulary.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
establishmentMeans,,establishmentMeans,DwC,miscellaneous,Occurrence,alphanumeric,establishmentmeans,The process by which the biological individual(s) represented in the Occurrence became established at the location. Recommended best practice is to use a controlled vocabulary.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
occurrenceStatus,,occurrenceStatus,DwC,miscellaneous,Occurrence,alphanumeric,occurrencestatus,A statement about the presence or absence of a Taxon at a Location. Recommended best practice is to use a controlled vocabulary.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
preparations,,preparations,DwC,miscellaneous,Occurrence,alphanumeric,preparations,A list (concatenated and separated) of preparations and preservation methods for a specimen.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
disposition,,disposition,DwC,miscellaneous,Occurrence,alphanumeric,disposition,The current state of a specimen with respect to the collection identified in collectionCode or collectionID. Recommended best practice is to use a controlled vocabulary.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
associatedMedia,,associatedMedia,DwC,miscellaneous,Occurrence,alphanumeric,associatedmedia,A list (concatenated and separated) of identifiers (publication; global unique identifier; URI) of media associated with the Occurrence.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
associatedSequences,,associatedSequences,DwC,miscellaneous,Occurrence,alphanumeric,associatedsequences,A list (concatenated and separated) of identifiers (publication; global unique identifier; URI) of genetic sequence information associated with the Occurrence.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
associatedTaxa,,associatedTaxa,DwC,miscellaneous,Occurrence,alphanumeric,associatedtaxa,A list (concatenated and separated) of identifiers or names of taxa and their associations with the Occurrence.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
occurrenceRemarks,,occurrenceRemarks,DwC,miscellaneous,Occurrence,alphanumeric,occurrenceremarks,Comments or notes about the Occurrence.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
organismID,,organismID,DwC,miscellaneous,Organism,alphanumeric,organismid,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
organismName,,organismName,DwC,miscellaneous,Organism,alphanumeric,organismname,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
organismScope,,organismScope,DwC,miscellaneous,Organism,alphanumeric,organismscope,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
associatedOccurrences,,associatedOccurrences,DwC,miscellaneous,Organism,alphanumeric,associatedoccurrences,A list (concatenated and separated) of identifiers of other Occurrence records and their associations to this Occurrence.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
associatedOrganisms,,associatedOrganisms,DwC,miscellaneous,Organism,alphanumeric,associatedorganisms,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
previousIdentifications,,previousIdentifications,DwC,miscellaneous,Organism,alphanumeric,previousidentifications,A list (concatenated and separated) of previous assignments of names to the Occurrence.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
organismRemarks,,organismRemarks,DwC,miscellaneous,Organism,alphanumeric,organismremarks,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
materialSampleID,,materialSampleID,DwC,miscellaneous,MaterialSample,alphanumeric,materialsampleid,An identifier for the MaterialSample (as opposed to a particular digital record of the material sample). In the absence of a persistent global unique identifier; construct one from a combination of identifiers in the record that will most closely make the materialSampleID globally unique.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fieldNumber,,fieldNumber,DwC,miscellaneous,Event,alphanumeric,fieldnumber,An identifier given to the event in the field. Often serves as a link between field notes and the Event.,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eventDate,,eventDate,DwC,miscellaneous,Event,alphanumeric,eventdate,The date-time or interval during which an Event occurred. For occurrences; this is the date-time when the event was recorded. Not suitable for a time in a geological context. Recommended best practice is to use an encoding scheme; such as ISO 8601:2004(E).,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eventTime,,eventTime,DwC,miscellaneous,Event,alphanumeric,eventtime,The time or interval during which an Event occurred. Recommended best practice is to use an encoding scheme; such as ISO 8601:2004(E).,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
startDayOfYear,,startDayOfYear,DwC,miscellaneous,Event,alphanumeric,startdayofyear,The earliest ordinal day of the year on which the Event occurred (1 for January 1; 365 for December 31; except in a leap year; in which case it is 366).,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
endDayOfYear,,endDayOfYear,DwC,miscellaneous,Event,alphanumeric,enddayofyear,The latest ordinal day of the year on which the Event occurred (1 for January 1; 365 for December 31; except in a leap year; in which case it is 366).,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
year,,year,DwC,miscellaneous,Event,alphanumeric,year,The four-digit year in which the Event occurred; according to the Common Era Calendar.,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
month,,month,DwC,miscellaneous,Event,alphanumeric,month,The ordinal month in which the Event occurred.,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
day,,day,DwC,miscellaneous,Event,alphanumeric,day,The integer day of the month on which the Event occurred,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
verbatimEventDate,,verbatimEventDate,DwC,miscellaneous,Event,alphanumeric,verbatimeventdate,The verbatim original representation of the date and time information for an Event.,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
habitat,,habitat,DwC,miscellaneous,Event,alphanumeric,habitat,A category or description of the habitat in which the Event occurred. ,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sampleSizeValue,,sampleSizeValue,DwC,miscellaneous,Event,alphanumeric,samplesizevalue,A numeric value for a measurement of the size (time duration; length; area; or volume) of a sample in a sampling event.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sampleSizeUnit,,sampleSizeUnit,DwC,miscellaneous,Event,alphanumeric,samplesizeunit,The unit of measurement of the size (time duration; length; area; or volume) of a sample in a sampling event.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
samplingEffort,,samplingEffort,DwC,miscellaneous,Event,alphanumeric,samplingeffort,The amount of effort expended during an Event.,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fieldNotes,,fieldNotes,DwC,miscellaneous,Event,alphanumeric,fieldnotes,One of a) an indicator of the existence of; b) a reference to (publication; URI); or c) the text of notes taken in the field about the Event.,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
locationID,,locationID,DwC,miscellaneous,Location,alphanumeric,locationid,An identifier for the set of location information (data associated with dcterms:Location). May be a global unique identifier or an identifier specific to the data set.,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
higherGeographyID,,higherGeographyID,DwC,miscellaneous,Location,alphanumeric,highergeographyid,An identifier for the geographic region within which the Location occurred. Recommended best practice is to use an persistent identifier from a controlled vocabulary such as the Getty Thesaurus of Geographic Names.,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
higherGeography,,higherGeography,DwC,miscellaneous,Location,alphanumeric,highergeography,A list (concatenated and separated) of geographic names less specific than the information captured in the locality term. The recommended best practice is to separate the values with a vertical bar (' | ').,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
continent,,continent,DwC,miscellaneous,Location,alphanumeric,continent,The name of the continent in which the Location occurs. Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names or the ISO 3166 Continent code.,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
waterBody,,waterBody,DwC,miscellaneous,Location,alphanumeric,waterbody,The name of the water body in which the Location occurs. Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
islandGroup,,islandGroup,DwC,miscellaneous,Location,alphanumeric,islandgroup,The name of the island group in which the Location occurs. Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
island,,island,DwC,miscellaneous,Location,alphanumeric,island,The name of the island on or near which the Location occurs. Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
country,,country,DwC,miscellaneous,Location,alphanumeric,country,The name of the country or major administrative unit in which the Location occurs. Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
